# freq/cm-1  Intensity 
3.71218e+02   1.24270e-04
3.72718e+02   1.13556e-04
3.74218e+02   1.03940e-04
3.75718e+02   9.53572e-05
3.77218e+02   8.77201e-05
3.78718e+02   8.09349e-05
3.80218e+02   7.49085e-05
3.81718e+02   6.95531e-05
3.83218e+02   6.47886e-05
3.84718e+02   6.05429e-05
3.86218e+02   5.67524e-05
3.87718e+02   5.33613e-05
3.89218e+02   5.03209e-05
3.90718e+02   4.75887e-05
3.92218e+02   4.51279e-05
3.93718e+02   4.29066e-05
3.95218e+02   4.08970e-05
3.96718e+02   3.90751e-05
3.98218e+02   3.74199e-05
3.99718e+02   3.59132e-05
4.01218e+02   3.45390e-05
4.02718e+02   3.32835e-05
4.04218e+02   3.21343e-05
4.05718e+02   3.10808e-05
4.07218e+02   3.01135e-05
4.08718e+02   2.92241e-05
4.10218e+02   2.84053e-05
4.11718e+02   2.76506e-05
4.13218e+02   2.69541e-05
4.14718e+02   2.63108e-05
4.16218e+02   2.57160e-05
4.17718e+02   2.51657e-05
4.19218e+02   2.46562e-05
4.20718e+02   2.41842e-05
4.22218e+02   2.37468e-05
4.23718e+02   2.33415e-05
4.25218e+02   2.29657e-05
4.26718e+02   2.26173e-05
4.28218e+02   2.22945e-05
4.29718e+02   2.19955e-05
4.31218e+02   2.17187e-05
4.32718e+02   2.14627e-05
4.34218e+02   2.12263e-05
4.35718e+02   2.10082e-05
4.37218e+02   2.08074e-05
4.38718e+02   2.06231e-05
4.40218e+02   2.04543e-05
4.41718e+02   2.03003e-05
4.43218e+02   2.01604e-05
4.44718e+02   2.00340e-05
4.46218e+02   1.99206e-05
4.47718e+02   1.98197e-05
4.49218e+02   1.97310e-05
4.50718e+02   1.96539e-05
4.52218e+02   1.95883e-05
4.53718e+02   1.95340e-05
4.55218e+02   1.94907e-05
4.56718e+02   1.94582e-05
4.58218e+02   1.94366e-05
4.59718e+02   1.94259e-05
4.61218e+02   1.94259e-05
4.62718e+02   1.94368e-05
4.64218e+02   1.94589e-05
4.65718e+02   1.94921e-05
4.67218e+02   1.95369e-05
4.68718e+02   1.95936e-05
4.70218e+02   1.96625e-05
4.71718e+02   1.97442e-05
4.73218e+02   1.98392e-05
4.74718e+02   1.99483e-05
4.76218e+02   2.00722e-05
4.77718e+02   2.02118e-05
4.79218e+02   2.03681e-05
4.80718e+02   2.05425e-05
4.82218e+02   2.07361e-05
4.83718e+02   2.09507e-05
4.85218e+02   2.11880e-05
4.86718e+02   2.14500e-05
4.88218e+02   2.17392e-05
4.89718e+02   2.20581e-05
4.91218e+02   2.24099e-05
4.92718e+02   2.27980e-05
4.94218e+02   2.32267e-05
4.95718e+02   2.37004e-05
4.97218e+02   2.42246e-05
4.98718e+02   2.48055e-05
5.00218e+02   2.54502e-05
5.01718e+02   2.61669e-05
5.03218e+02   2.69652e-05
5.04718e+02   2.78560e-05
5.06218e+02   2.88519e-05
5.07718e+02   2.99673e-05
5.09218e+02   3.12186e-05
5.10718e+02   3.26243e-05
5.12218e+02   3.42051e-05
5.13718e+02   3.59831e-05
5.15218e+02   3.79819e-05
5.16718e+02   4.02247e-05
5.18218e+02   4.27321e-05
5.19718e+02   4.55188e-05
5.21218e+02   4.85873e-05
5.22718e+02   5.19206e-05
5.24218e+02   5.54717e-05
5.25718e+02   5.91522e-05
5.27218e+02   6.28223e-05
5.28718e+02   6.62871e-05
5.30218e+02   6.93063e-05
5.31718e+02   7.16220e-05
5.33218e+02   7.30043e-05
5.34718e+02   7.33039e-05
5.36218e+02   7.24906e-05
5.37718e+02   7.06621e-05
5.39218e+02   6.80175e-05
5.40718e+02   6.48082e-05
5.42218e+02   6.12872e-05
5.43718e+02   5.76726e-05
5.45218e+02   5.41297e-05
5.46718e+02   5.07696e-05
5.48218e+02   4.76569e-05
5.49718e+02   4.48211e-05
5.51218e+02   4.22675e-05
5.52718e+02   3.99861e-05
5.54218e+02   3.79585e-05
5.55718e+02   3.61623e-05
5.57218e+02   3.45740e-05
5.58718e+02   3.31705e-05
5.60218e+02   3.19303e-05
5.61718e+02   3.08341e-05
5.63218e+02   2.98645e-05
5.64718e+02   2.90060e-05
5.66218e+02   2.82452e-05
5.67718e+02   2.75706e-05
5.69218e+02   2.69718e-05
5.70718e+02   2.64400e-05
5.72218e+02   2.59677e-05
5.73718e+02   2.55482e-05
5.75218e+02   2.51757e-05
5.76718e+02   2.48453e-05
5.78218e+02   2.45525e-05
5.79718e+02   2.42937e-05
5.81218e+02   2.40655e-05
5.82718e+02   2.38649e-05
5.84218e+02   2.36896e-05
5.85718e+02   2.35373e-05
5.87218e+02   2.34061e-05
5.88718e+02   2.32942e-05
5.90218e+02   2.32003e-05
5.91718e+02   2.31230e-05
5.93218e+02   2.30611e-05
5.94718e+02   2.30138e-05
5.96218e+02   2.29801e-05
5.97718e+02   2.29593e-05
5.99218e+02   2.29508e-05
6.00718e+02   2.29541e-05
6.02218e+02   2.29686e-05
6.03718e+02   2.29942e-05
6.05218e+02   2.30304e-05
6.06718e+02   2.30772e-05
6.08218e+02   2.31344e-05
6.09718e+02   2.32019e-05
6.11218e+02   2.32798e-05
6.12718e+02   2.33682e-05
6.14218e+02   2.34673e-05
6.15718e+02   2.35775e-05
6.17218e+02   2.36990e-05
6.18718e+02   2.38324e-05
6.20218e+02   2.39783e-05
6.21718e+02   2.41373e-05
6.23218e+02   2.43104e-05
6.24718e+02   2.44986e-05
6.26218e+02   2.47030e-05
6.27718e+02   2.49251e-05
6.29218e+02   2.51666e-05
6.30718e+02   2.54293e-05
6.32218e+02   2.57155e-05
6.33718e+02   2.60277e-05
6.35218e+02   2.63689e-05
6.36718e+02   2.67425e-05
6.38218e+02   2.71526e-05
6.39718e+02   2.76035e-05
6.41218e+02   2.81003e-05
6.42718e+02   2.86485e-05
6.44218e+02   2.92543e-05
6.45718e+02   2.99239e-05
6.47218e+02   3.06636e-05
6.48718e+02   3.14788e-05
6.50218e+02   3.23733e-05
6.51718e+02   3.33473e-05
6.53218e+02   3.43960e-05
6.54718e+02   3.55062e-05
6.56218e+02   3.66541e-05
6.57718e+02   3.78026e-05
6.59218e+02   3.89012e-05
6.60718e+02   3.98897e-05
6.62218e+02   4.07062e-05
6.63718e+02   4.12991e-05
6.65218e+02   4.16405e-05
6.66718e+02   4.17339e-05
6.68218e+02   4.16144e-05
6.69718e+02   4.13401e-05
6.71218e+02   4.09796e-05
6.72718e+02   4.05995e-05
6.74218e+02   4.02569e-05
6.75718e+02   3.99956e-05
6.77218e+02   3.98461e-05
6.78718e+02   3.98276e-05
6.80218e+02   3.99504e-05
6.81718e+02   4.02166e-05
6.83218e+02   4.06212e-05
6.84718e+02   4.11507e-05
6.86218e+02   4.17818e-05
6.87718e+02   4.24790e-05
6.89218e+02   4.31932e-05
6.90718e+02   4.38632e-05
6.92218e+02   4.44203e-05
